ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
11,625c7ec8-7712-4cf2-9c95-ec3c27ebaae8,1/28/2023 6:36:57 AM,,1/28/2023 6:36:57 AM,,H,,Inside the field,One crop,"kalo_(taro),mai`a_(banana)",,kalo (taro),,Lots of dog toys ,-111.926651322716,33.3683809587485
12,0053defd-2e03-4442-adf8-388b93150d45,1/28/2023 6:37:03 AM,,1/28/2023 6:37:03 AM,,Kerner,,Inside the field,One crop,kalo_(taro),,,,Farmer noted that the taro ponds have been water scarce,-111.926651579529,33.3683901011289
13,b03ab5d8-e170-48ed-8edd-966a3bdd2d38,1/28/2023 11:57:57 PM,,1/28/2023 11:57:57 PM,,Nicolette van der Lee,,On the edge of the field,One crop,other,test,,,,-156.479847662577,20.8896578933585
14,31dc8a65-6642-4169-b3b4-0ef27307f5ab,1/29/2023 12:00:17 AM,,1/29/2023 12:00:17 AM,,Nick adams ,,On the edge of the field,Fallow,other,,,,Test point ,-156.497337151001,20.9119698594506
15,8bd113b1-34d7-4a7a-bf0d-4cfad6bb98cc,1/29/2023 12:17:01 AM,,1/29/2023 12:17:01 AM,,Jeffrey wayer,,On the edge of the field,One crop,kalo_(taro),,,,Kalo garden App test,-156.47995492267,20.8919680978335
16,5702945b-213d-4683-a76f-8b4155efeba5,1/29/2023 12:17:53 AM,,1/29/2023 12:17:53 AM,,Hannah Kerner ,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.479863192649,20.8923208778511
17,2aaa14ba-2694-445d-bd7d-686124e60a7d,1/29/2023 12:17:57 AM,,1/29/2023 12:17:57 AM,,Paige Moffitt,,On the edge of the field,One crop,kalo_(taro),,,,,-156.479999131926,20.8919838240334
18,466f8fdc-71ae-43ac-bce1-a671ba9b0d5a,1/29/2023 12:18:05 AM,,1/29/2023 12:18:05 AM,,Dylan Bowen ,,On the edge of the field,Multiple crops,"kalo_(taro),`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),niu_(coconut),coffee,pineapple,macadamia_nut,tropical_fruits,avocado,sugarcane,other",All of them ,,,,-156.47996088211,20.8925422446171
19,8491689b-288b-4015-a9ef-90fcb0d998fe,1/29/2023 12:20:26 AM,,1/29/2023 12:20:26 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,other,Turmeric and an avocado tree,other,Turmeric,,-156.479802314026,20.8922841508093
20,619d2d43-9fc0-4ac1-b5d7-56463f5425d3,1/29/2023 12:20:29 AM,,1/29/2023 12:20:29 AM,,Joshua D Hinau - Nanod,,Inside the field,One crop,mai`a_(banana),,,,,-156.479867382288,20.8923202609853
21,027c6aa8-5e7e-48f2-a78d-4c8941b485e2,1/29/2023 12:20:45 AM,,1/29/2023 12:20:45 AM,,jerry isdale,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),kalo_(taro),tropical_fruits",,,,,-156.48003998,20.89189813
22,6db048ec-db35-4bd4-9bc4-ce8195fb10fb,1/29/2023 12:21:01 AM,,1/29/2023 12:21:01 AM,,Sean McCormick,,On the edge of the field,Multiple crops,"kalo_(taro),`ulu_(breadfruit),other",,kalo (taro),,,-156.480022300984,20.8919199230081
23,181ef3e3-d773-4adb-ba74-49d5a4f7ddc8,1/29/2023 12:21:12 AM,,1/29/2023 12:21:12 AM,,Rohan Fahland,,On the edge of the field,Multiple crops,"`uala_(sweet_potato),other",Noni ,other,Noni,,-156.479828787067,20.8923684227959
24,9fca3b34-a83e-4bb1-bbc0-97dd2c864cb4,1/29/2023 12:23:23 AM,,1/29/2023 12:23:23 AM,,Anna Galbreath ,,Inside the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits,`uala_(sweet_potato),mai`a_(banana),kalo_(taro),other","Lemongrass, tea leaf, oranges, rest unknown",not applicable,,Nice garden,-156.479823742295,20.8924709687453
25,0b944c01-8b92-4a6f-b0a5-a3420e118f0a,1/29/2023 12:23:48 AM,,1/29/2023 12:23:48 AM,,Hannah Kerner ,,On the edge of the field,Multiple crops,"kalo_(taro),`uala_(sweet_potato)",,other,Sweet potato,,-156.479823961654,20.8922383344568
26,77ab0804-b7a8-440b-a1b8-df46bb9a1d65,1/29/2023 12:26:31 AM,,1/29/2023 12:26:31 AM,,Jacob Adler,,On the edge of the field,Multiple crops,other,Garden at Maui College,,,,-156.47989871239,20.892228743486
27,59eab3b2-b242-4c28-9788-6a3259b0425a,1/29/2023 12:27:39 AM,,1/29/2023 12:27:39 AM,,Hannah Kerner ,,On the edge of the field,One crop,other,Pumpkin ,,,Very small plot,-156.479839464114,20.892457724096
28,1cc9a5cf-16b3-4584-805d-db46f710bbf9,1/29/2023 12:32:19 AM,,1/29/2023 12:32:19 AM,,Anna Galbreath,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),tropical_fruits,other","Lemongrass, cucumber, tea leaf, oranges, rest unknown",not applicable,,Nice garden,-156.479838734709,20.8922735055302
29,22d2545f-c927-41fe-900d-f42301e69218,1/29/2023 12:36:07 AM,,1/29/2023 12:36:07 AM,,Brigette Tomas ,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),tropical_fruits,other,niu_(coconut),kalo_(taro)","Citrus, Ti Leaf",,,,-156.47984167,20.89231538
30,86242134-8ebc-4add-9906-4065048600c9,1/30/2023 3:55:07 AM,,1/30/2023 3:55:07 AM,,Dylan Bowen ,,On the edge of the field,Pasture,,,,,,-156.325937623334,20.7669854475116
31,ba2fd34e-9777-4f09-ac59-d761aa2675f4,1/31/2023 4:04:24 AM,NASAHarvestCollector_UofMD,1/31/2023 4:04:24 AM,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,Multiple crops,other,,,,Jackfruit,-156.30244768,20.91428287
32,5e2ad245-fab8-4d86-8e11-d0b7f40c7005,2/4/2023 1:23:59 AM,,2/4/2023 1:23:59 AM,,Hannah,,On the edge of the field,Multiple crops,other,"Okasanta, ginger etc",,,,-156.240652408596,20.9144391724997
33,bb604a1c-af57-492a-bf2c-5d69413f9879,2/4/2023 1:24:11 AM,,2/4/2023 1:24:11 AM,,Hannah,,On the edge of the field,Multiple crops,other,Cashew,,,,-156.241201001951,20.9144403007847
34,aba564b4-425a-43f2-8fbd-a5571a3ee3d9,2/4/2023 1:24:20 AM,,2/4/2023 1:24:20 AM,,Hannah Kerner,,On the edge of the field,One crop,mai`a_(banana),,,,Small,-156.356838517143,20.7052443139019
35,8d087042-37da-4944-be89-1298247a5c64,2/4/2023 1:24:32 AM,,2/4/2023 1:24:32 AM,,Hannah,,On the edge of the field,One crop,kalo_(taro),,,,,-156.500611100492,20.8248062012875
36,32633931-cdef-45de-801e-f8a04fe2b8f6,2/4/2023 1:24:44 AM,,2/4/2023 1:24:44 AM,,Hannah,,Inside the field,One crop,kalo_(taro),,,,,-156.500466374796,20.8296300715189
37,3abc8f10-8c24-4214-ba15-127751cc1ddc,2/4/2023 1:24:55 AM,,2/4/2023 1:24:55 AM,,Hannah,,On the edge of the field,One crop,kalo_(taro),,,,,-156.137018222507,20.8411864936509
38,0842a032-d3f3-4e31-a0cd-f6c077fb9b89,2/4/2023 1:25:07 AM,,2/4/2023 1:25:07 AM,,Hannah,,On the edge of the field,Multiple crops,"kalo_(taro),other","Corn, tomatoes, sunflowers, flowers etc",,,,-155.997924395818,20.7771026509735
39,4f23aebd-2510-4c8d-aaa2-27c9787a79b5,2/4/2023 1:25:20 AM,,2/4/2023 1:25:20 AM,,Hannah,,On the edge of the field,One crop,niu_(coconut),,,,,-156.036224553879,20.7980815623125
40,ad7e9a43-0705-4969-bb2f-277e021afedf,2/4/2023 1:25:35 AM,,2/4/2023 1:25:35 AM,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables,,,,-156.286021890264,20.8154408494166
41,0103a362-86b7-4daa-a4bb-1176afd83ab2,2/4/2023 1:25:46 AM,,2/4/2023 1:25:46 AM,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables ,,,,-156.358200805407,20.7924231374793
42,bc0248cb-5403-436b-9e2c-15b96046bd67,2/4/2023 1:25:56 AM,,2/4/2023 1:25:56 AM,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables ,,,Research fields ,-156.358329000974,20.7925289969305
43,de1790a2-a001-4c65-b1ca-112d70670354,2/4/2023 1:40:17 AM,,2/4/2023 1:40:17 AM,,Jake Adler,,Inside the field,One crop,macadamia_nut,,,,Mature 100 year old trees suspected by farmer! Mac nuts with rat holes. ,-157.048807131986,21.1662933258238
44,1693fcbb-6ba4-441e-a156-4b706a7874fd,2/4/2023 1:40:31 AM,,2/4/2023 1:40:31 AM,,Hannah,,On the edge of the field,One crop,macadamia_nut,,,,,-157.048828350144,21.16627395426
45,1b45a266-c968-4960-b48c-5c45dd4d47b4,2/4/2023 1:41:28 AM,,2/4/2023 1:41:28 AM,,Kira Kai Yamazaki-Gray,,Inside the field,One crop,macadamia_nut,,,,,-157.048798548204,21.166267879323
46,a75d9934-d9a6-43d3-b8c3-afa01e09dbc4,2/4/2023 1:41:52 AM,,2/4/2023 1:41:52 AM,,Miliopuna Davis,,Inside the field,One crop,macadamia_nut,,,,"
Macadamia nui cracked open by rodents",-157.048830994268,21.1662606254697
47,823d0a07-ef40-42b5-9537-1f6a284ef6eb,2/4/2023 1:56:55 AM,,2/4/2023 1:56:55 AM,,Kahakuhailoa Poepoe,,Inside the field,One crop,macadamia_nut,,,,,-157.04826666151,21.166292888969
48,3f6e011b-253e-4187-9c2b-0602e0fba6f1,2/4/2023 1:58:14 AM,,2/4/2023 1:58:14 AM,,Hannah,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees are the tropical fruits. Black plastic in the soil. ,-157.047601987334,21.1664545484296
49,1d742e86-b184-48c3-a49d-6e2dcdf40fd9,2/4/2023 1:58:29 AM,,2/4/2023 1:58:29 AM,,Jake Adler,,Inside the field,Multiple crops,"tropical_fruits,macadamia_nut",,macadamia nut,,Mangos and Mac nuts almost 50-50. Black plastic noted in soil. ,-157.047633768164,21.1664568708976
50,173e4ead-cb1f-4238-9b88-46a8d518fc4c,2/4/2023 1:58:34 AM,,2/4/2023 1:58:34 AM,,Miliopuna Davis,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees as the tropical fruit. Black plastic stuck in the soiled.,-157.047625660523,21.1664092701185
51,b8c437cc-81be-443e-b837-40d751a62fec,2/4/2023 1:58:53 AM,,2/4/2023 1:58:53 AM,,Kira Kai Yamazaki-Gray,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Mango trees are the tropical fruits, black plantation plastic in soil, farm road in the middle of field.",-157.047615508962,21.1664283880241
52,f47388c8-7857-40ce-8031-92f7b5ca88a8,2/4/2023 1:58:58 AM,,2/4/2023 1:58:58 AM,,Wailana ,,Inside the field,One crop,macadamia_nut,,,,"Evidence of Rats/Mice 
Spiderwebs around trees and branches ",-157.048794919371,21.1662541774066
53,a99d78d6-2410-4aae-bff8-48efdc83c53d,2/4/2023 1:59:07 AM,,2/4/2023 1:59:07 AM,,Wailana,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Tropical fruits = mango
Plantation Plastic under soil ",-157.047625359867,21.1664432517989
54,eaa303da-7aa7-4242-8180-dc801e580280,2/4/2023 2:00:26 AM,,2/4/2023 2:00:26 AM,,Kahakuhailoa Poepoe,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees are the tropical fruits. Black plastic in the soil,-157.047637034321,21.1664385880882
55,9cbf13ac-7e41-46be-9405-8cd669a10fc2,2/4/2023 2:10:49 AM,,2/4/2023 2:10:49 AM,,Kairee ,,On the edge of the field,One crop,macadamia_nut,,,,,-157.048802152687,21.1662533371147
56,f511f932-c162-4d50-a4b0-4388f97d587f,2/4/2023 2:10:56 AM,,2/4/2023 2:10:56 AM,,Kairee,,On the edge of the field,Multiple crops,"macadamia_nut,other",mangoes,macadamia nut,,"mango trees, black plastic in soil from pineapple industry ",-157.047609898191,21.1664385120683
57,5cc005aa-3c5d-4704-8348-925aa3df7e27,2/4/2023 3:32:00 AM,,2/4/2023 3:32:00 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,other,"Peas, Papaya, pumpkin, avocado, orange, longan",other,Peas,,-156.500671494151,20.9025170535505
58,b7ca668e-ed69-4370-9839-68bfc35ab2dd,2/4/2023 7:41:29 PM,,2/4/2023 7:41:29 PM,,jerry isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),kalo_(taro),other",young minds,,,,-156.50319318,20.82836162
59,2d35e8ec-25ce-4ccd-912c-f9526dcb16ee,2/4/2023 7:48:05 PM,,2/4/2023 7:48:05 PM,,jerry isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),other,sugarcane",dicon radish,,,,-156.50233747,20.82940108
60,620269e7-0659-49c1-91fd-e2adf124763a,2/4/2023 7:58:22 PM,,2/4/2023 7:58:22 PM,,Joshua D Hinau-Nanod,,On the edge of the field,Fallow,,,,,,-156.501987404212,20.8294853100685
61,d28f2c5b-3b9f-4fae-8f45-a8ea8708926c,2/4/2023 7:58:36 PM,,2/4/2023 7:58:36 PM,,Jeffrey wayer,,On the edge of the field,One crop,kalo_(taro),,,,App test at Kalo field ,-156.501242024369,20.8290982710241
62,4fc76f6a-5c0b-4215-8367-ab8b1ba5c20f,2/4/2023 7:59:54 PM,,2/4/2023 7:59:54 PM,,Charlotte Cabaccang,,Inside the field,One crop,kalo_(taro),,,,They use cut grass as mulch,-156.501148590507,20.8293377453588
63,d2e5fd3a-7443-42fc-bbe6-0302ec92e090,2/4/2023 8:00:15 PM,,2/4/2023 8:00:15 PM,,Rohan Fahland,,Inside the field,One crop,kalo_(taro),,,,Dry land taro,-156.501478726725,20.8287495973888
64,1192eff9-948b-4ab6-92a0-d595e66a0b52,2/4/2023 8:00:39 PM,,2/4/2023 8:00:39 PM,,Sean McCormick,,Inside the field,One crop,kalo_(taro),,,,,-156.501091906085,20.829763154877
65,71d7a9c6-1500-4bcb-b9f3-f2961add4e90,2/4/2023 8:02:15 PM,,2/4/2023 8:02:15 PM,,Joshua D Hinau-Nanod,,Inside the field,One crop,kalo_(taro),,,,,-156.501211599706,20.8295660482846
66,7888a7db-1411-4af5-91b6-654ee646ca59,2/4/2023 8:02:20 PM,,2/4/2023 8:02:20 PM,,Brigette Tomas,,Inside the field,Multiple crops,"kalo_(taro),sugarcane",,kalo (taro),,"No fence surrounding 
Drip irriagation 
Wood chips mulch 
",-156.50145667,20.82909665
67,8414123c-6b30-4476-8f09-6ea156092fcc,2/4/2023 8:04:11 PM,,2/4/2023 8:04:11 PM,,Rohan Fahland,,On the edge of the field,Fallow,,,,,,-156.501422640539,20.8294923058916
68,6b12e12e-afe4-4dab-b7af-c3c59e24b14c,2/4/2023 8:04:20 PM,,2/4/2023 8:04:20 PM,,Anna Galbreath,,Inside the field,One crop,kalo_(taro),,kalo (taro),,,-156.50101381714,20.8289756856613
69,bdaf8930-52b5-4984-9ddc-abe5b80a5d49,2/4/2023 8:04:43 PM,,2/4/2023 8:04:43 PM,,Joshua D Hinau-Nanod,,On the edge of the field,Fallow,,,,,,-156.501299555861,20.829751970925
70,05c98713-33b2-4fa3-8288-32eb7ae1c054,2/4/2023 8:06:08 PM,,2/4/2023 8:06:08 PM,,Paige Moffitt,,Inside the field,Multiple crops,other,peanut ,,,"mixed field with peanuts , okra, and a root vegetable that I can no identify.  These crops are in between two fallow fields ",-156.502250394028,20.8294985348607
71,4cd0c4ca-d3cd-4e9a-82d6-0069ebc87b0a,2/4/2023 8:06:34 PM,,2/4/2023 8:06:34 PM,,Nicholas Adams,,Inside the field,Multiple crops,"kalo_(taro),sugarcane",,kalo (taro),,"Mulch, no fence ",-156.50135307815,20.8289321617199
72,b2bc85c1-20f6-40d1-aa32-a391a9ce264c,2/4/2023 8:07:46 PM,,2/4/2023 8:07:46 PM,,Charlotte Cabaccang,,Inside the field,One crop,other,Pumpkin,,,,-156.500259128908,20.8291533155218
73,12caceea-5947-43a5-84ca-0b7dad8567f0,2/4/2023 8:08:33 PM,,2/4/2023 8:08:33 PM,,Nicolette van der Lee,,Inside the field,Multiple crops,"mai`a_(banana),other","okra, mixed veg",other,mixed veg,use of plastic weed suppressant; no fence,-156.502213780467,20.8293582224009
74,37ea01b3-407a-4fc3-8983-13990af30c77,2/4/2023 8:09:38 PM,,2/4/2023 8:09:38 PM,,jerr isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),sugarcane,other","ocra,dicon, peanut",,,,-156.50222848,20.82959182
75,93741b6a-9908-49b0-ba2e-36cb4a8ebe9b,2/4/2023 8:10:02 PM,,2/4/2023 8:10:02 PM,,Sean McCormick,,Inside the field,Multiple crops,"`uala_(sweet_potato),other",Radish,,,,-156.501737561215,20.82908043595
76,9ed36a48-41ea-47d5-b796-1d1274107da5,2/4/2023 8:12:42 PM,,2/4/2023 8:12:42 PM,,Sean,,Inside the field,Fallow,,,,,Looks like some Taro but mostly fallow (~80-90%),-156.501801110633,20.8287815178679
77,734d1553-4db1-42d1-81cd-7cfeeb4abb74,2/4/2023 8:16:08 PM,,2/4/2023 8:16:08 PM,,Paige Moffitt ,,Inside the field,One crop,kalo_(taro),,kalo (taro),,,-156.50117901068,20.8298121432452
78,c17700fa-9e7d-4a02-8233-dd09f37de8b4,2/4/2023 8:20:42 PM,,2/4/2023 8:20:42 PM,,Jeffrey wayer,,On the edge of the field,One crop,"kalo_(taro),macadamia_nut",,,,App test ,-156.501305398843,20.8291462787712
79,52d2c2f8-2747-4894-9351-d1e573947bd0,2/4/2023 8:34:18 PM,,2/4/2023 8:34:18 PM,,Jeffrey wayer,,Inside the field,Fallow,,,,,App test empty field ,-156.500635895185,20.8283761516534
80,4c2cacb2-b48e-44bc-951a-e9c7f5ec00aa,2/4/2023 8:38:20 PM,,2/4/2023 8:38:20 PM,,Rohan Fahland,,Inside the field,Fallow,,,,,Sugar cane border,-156.50139730792,20.8277327836346
81,a624fe60-d1e9-47ac-bf31-200b03c2ef36,2/4/2023 8:39:17 PM,,2/4/2023 8:39:17 PM,,Joshua D Hinau-Nanod,,Inside the field,Fallow,,,,,Boarded by cane grass,-156.50098576082,20.8275943730492
82,30494e68-e5d4-45dd-9a23-2acee3ed41ba,2/4/2023 8:39:44 PM,,2/4/2023 8:39:44 PM,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Fallow with cane grass on either side,-156.501510486804,20.8282956556812
83,3aa6b0cb-88bc-47c7-b5bf-17d0f65f7caa,2/4/2023 8:40:00 PM,,2/4/2023 8:40:00 PM,,Anna Galbreath,,Inside the field,Multiple crops,other,"Radishes, ",not applicable,,,-156.501856916596,20.8290689051329
84,31fc61da-8528-4bf2-b2f7-3fe93cdc7f24,2/4/2023 8:40:05 PM,,2/4/2023 8:40:05 PM,,Nicholas Adams,,Inside the field,Fallow,,,,,Windbreak of cane grass on either side,-156.501479978541,20.8280097681481
85,ee0ba9ad-59d2-4c09-b19e-0c4f1976d5ef,2/4/2023 8:40:06 PM,,2/4/2023 8:40:06 PM,,Anna Galbreath,,On the edge of the field,Fallow,sugarcane,,sugarcane,,There are rows of sugarcane with plenty of fallow between each row.,-156.501885065496,20.8285859115225
86,c1343c82-bceb-4a0b-aab7-3055174dccba,2/4/2023 8:41:08 PM,,2/4/2023 8:41:08 PM,,Anna Galbreath ,,Inside the field,Fallow,,,,,,-156.500749698441,20.8282964988398
87,91cffc88-6720-4649-9ea8-fd472f46803a,2/4/2023 8:41:09 PM,,2/4/2023 8:41:09 PM,,Joshua D Hinau-Nanod,,Inside the field,Fallow,,,,,,-156.501208404248,20.8271998947694
88,bbbdc7dc-71ff-4692-88d5-9f9f24ebeedf,2/4/2023 8:41:13 PM,,2/4/2023 8:41:13 PM,,Sean McCormick,,Inside the field,Fallow,,,,,Sugar Cane border no fence,-156.5010431277,20.8273378155521
89,54291066-e35f-4283-883d-394d660fe76e,2/4/2023 8:42:06 PM,,2/4/2023 8:42:06 PM,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Has strips of sugar cane on either side. Used plastic to cover most of the soil,-156.501387943643,20.8282241967378
90,80c1831c-7e73-4ca3-bf59-30f76c8efa04,2/4/2023 8:42:16 PM,,2/4/2023 8:42:16 PM,,Brigette Tomas,,Inside the field,Fallow,,,,,"Cane grass as windbreak
",-156.5010257,20.82782578
91,ea62124a-6491-4719-9efc-d6064a35516d,2/4/2023 8:45:13 PM,,2/4/2023 8:45:13 PM,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Fallow with strips of sugar cane in either side. Mostly uses plant cuttings and some plastic to cover the soil.,-156.500664662407,20.8279462563027
92,acd5d5b7-10df-427c-ba3b-11792434c785,2/4/2023 8:52:24 PM,,2/4/2023 8:52:24 PM,,Hannah,,Inside the field,Fallow,,,,,,-156.50144048981,20.8282865770319
93,91fdb373-3b98-4f3d-914b-6fe60b29d521,2/4/2023 9:59:53 PM,NASAHarvestCollector_UofMD,2/4/2023 9:59:53 PM,NASAHarvestCollector_UofMD,Catherine Nakalembe,,Inside the field,One crop,kalo_(taro),,,,,-156.501200058267,20.8289722796439
94,a6ff6821-5beb-4488-beac-5ce7564120a5,2/4/2023 11:17:36 PM,,2/4/2023 11:17:36 PM,,Dustin Palos,,Inside the field,Multiple crops,other,"Bitter melon, okra, mixed greens",,,"Farmer no present, no fence, ",-156.50225365,20.82933968
95,2462a828-3c41-413a-9628-e38ede91f55f,2/4/2023 11:17:37 PM,,2/4/2023 11:17:37 PM,,Julian Marcus Boone-Rogers,,Inside the field,Multiple crops,"coffee,tropical_fruits,sugarcane,`ulu_(breadfruit),`uala_(sweet_potato)",,other,,Dominant crop is Sweet Potato,-156.47995536957,20.8925674035365
96,75705955-d5a0-407b-b833-e1ce57210c03,2/4/2023 11:17:40 PM,,2/4/2023 11:17:40 PM,,Julian Boone,,Inside the field,Multiple crops,other,Bitter Melon Okra Radish,not applicable,,3 crops of diffferent levels,-156.502256515295,20.8293238808201
97,60510564-c6bf-4fb9-a5a2-a57fd9c8523d,2/4/2023 11:17:45 PM,,2/4/2023 11:17:45 PM,,Julian Boone,,Inside the field,One crop,kalo_(taro),,,,Large field with a wind break made of sugar cane on the south side,-156.501546955857,20.8286270752659
98,b290be16-f407-4011-be72-0388199f8d94,2/4/2023 11:17:47 PM,,2/4/2023 11:17:47 PM,,Julian Boone,,Inside the field,Fallow,other,Fallow,,,Fallo win between fields ,-156.501647923726,20.8294598644185
99,240a4b19-686c-40e7-9476-262a7e08fb01,2/4/2023 11:17:49 PM,,2/4/2023 11:17:49 PM,,Julian Boone,,Inside the field,Fallow,,,,,Wind breaks on both sides made of sugarcane,-156.501586695648,20.8275742735465
100,00f9c004-ecee-495d-ad93-ded0a2971a9a,2/5/2023 1:19:38 AM,,2/5/2023 1:19:38 AM,,Mary Alleca,,On the edge of the field,Fallow,,,,,"Tilled field, ready for planting.",-156.50221831,20.8296259
101,71c6838f-b1f2-44c3-b1d9-1939cda3f63f,2/5/2023 1:19:40 AM,,2/5/2023 1:19:40 AM,,Mary Alleca,,Inside the field,Multiple crops,other,"Okra, tomato",,,,-156.50052809,20.82884508
102,03cb0552-6478-43e8-ba40-c5128a92c801,2/5/2023 1:19:44 AM,,2/5/2023 1:19:44 AM,,Mary Alleca,,Inside the field,Fallow,,,,,Border cane grass and coconut,-156.50188785,20.82740467
103,6b18d684-93f2-417f-9965-ac360b16beaf,2/5/2023 1:19:46 AM,,2/5/2023 1:19:46 AM,,Mary Alleca,,Inside the field,One crop,niu_(coconut),,,,"Borders of road and banana, no fence",-156.50121987,20.82690729
104,9157ab3e-84d7-4251-a153-2cf0ad72945e,2/5/2023 1:19:50 AM,,2/5/2023 1:19:50 AM,,Mary Alleca,,Inside the field,One crop,"tropical_fruits,mai`a_(banana)",,,,"Rows of citrus and banana with cane grass and coconut field borders, no fence",-156.50158919,20.82689792
